	id	created_ts	text	user.name	location	verified	entities	RT	quoted_text
105115	1236639512715055105	2020-03-08 13:06:50	"RT @tylikcat: @GregNN @JeremyKonyndyk @chrisparnin @seattleflustudy Researchers didn't ""finally"" step up. They had started on this back in…"	D Acharya	Pennsylvania, USA 	False	{u'user_mentions': [{u'id': 182564387, u'indices': [3, 12], u'id_str': u'182564387', u'screen_name': u'tylikcat', u'name': u'Dr. Catherine Kehl'}, {u'id': 42403427, u'indices': [14, 21], u'id_str': u'42403427', u'screen_name': u'GregNN', u'name': u'Greg Nelson'}, {u'id': 398172747, u'indices': [22, 37], u'id_str': u'398172747', u'screen_name': u'JeremyKonyndyk', u'name': u'Jeremy WASH YOUR DAMN HANDS Konyndyk'}, {u'id': 208062724, u'indices': [38, 50], u'id_str': u'208062724', u'screen_name': u'chrisparnin', u'name': u'Chris\u2744\ufe0fParnin\U0001f384'}, {u'id': 1082012985642573824, u'indices': [51, 67], u'id_str': u'1082012985642573824', u'screen_name': u'seattleflustudy', u'name': u'Seattle Flu Study'}], u'symbols': [], u'hashtags': [], u'urls': []}	1	
105158	1236639813123690496	2020-03-08 13:08:01	@COVID19Update San Francisco / Oakland Residents!!!!  VISIT: https://t.co/4xD3HsZvvk  3M N95 Coronavirus Masks in stock ready to ship from US  #portofoakland #SantaClaraCounty #SanFrancisco #TestKits #princesscruises #spreading #LAX	Coronavirus Masks For Sale	Washington, D.C.	False	{u'user_mentions': [{u'id': 1081972159860359170, u'indices': [0, 14], u'id_str': u'1081972159860359170', u'screen_name': u'COVID19Update', u'name': u'CoronaVirus Updates\U0001f9a0'}], u'symbols': [], u'hashtags': [], u'urls': [{u'url': u'https://t.co/4xD3HsZvvk', u'indices': [61, 84], u'expanded_url': u'https://coronavirusprotectionmasks.org/shop', u'display_url': u'coronavirusprotectionmasks.org/shop'}, {u'url': u'https://t.co/9sbmUEsKgu', u'indices': [117, 140], u'expanded_url': u'https://twitter.com/i/web/status/1236639813123690496', u'display_url': u'twitter.com/i/web/status/1\u2026'}]}	0	
105337	1236641034110750721	2020-03-08 13:12:52	RT @WLRjack: NBA: prepare to play games with no fans due to coronavirus   WNBA: https://t.co/H8FXnfIld7	Frank Wizza🏁	In the TREE	False	{u'user_mentions': [{u'id': 1205456180610514944, u'indices': [3, 11], u'id_str': u'1205456180610514944', u'screen_name': u'WLRjack', u'name': u'\U0001d4bf\U0001d4b6\U0001d4b8\U0001d4c0\U0001f4ab'}], u'symbols': [], u'hashtags': [], u'urls': [], u'media': [{u'additional_media_info': {u'monetizable': False}, u'source_user_id': 1205456180610514944, u'source_status_id_str': u'1236387626606899201', u'expanded_url': u'https://twitter.com/WLRjack/status/1236387626606899201/video/1', u'display_url': u'pic.twitter.com/H8FXnfIld7', u'url': u'https://t.co/H8FXnfIld7', u'media_url_https': u'https://pbs.twimg.com/ext_tw_video_thumb/1236387614854467584/pu/img/MULA-zUl5Q8mADsG.jpg', u'source_user_id_str': u'1205456180610514944', u'source_status_id': 1236387626606899201, u'id_str': u'1236387614854467584', u'sizes': {u'large': {u'h': 360, u'resize': u'fit', u'w': 640}, u'small': {u'h': 360, u'resize': u'fit', u'w': 640}, u'medium': {u'h': 360, u'resize': u'fit', u'w': 640}, u'thumb': {u'h': 150, u'resize': u'crop', u'w': 150}}, u'indices': [80, 103], u'type': u'photo', u'id': 1236387614854467584, u'media_url': u'http://pbs.twimg.com/ext_tw_video_thumb/1236387614854467584/pu/img/MULA-zUl5Q8mADsG.jpg'}]}	1	
105411	1236641467394936834	2020-03-08 13:14:36	Honestly, I think the Coronavirus is a bit overrated. Sure it’s scary, but it’s like the flu (just a bit deadlier). Just wash your hands and prepare yourself like you have the flu. No big deal there.	Anonymous User	None	False	{u'user_mentions': [], u'symbols': [], u'hashtags': [], u'urls': [{u'url': u'https://t.co/L36nXtGqWl', u'indices': [117, 140], u'expanded_url': u'https://twitter.com/i/web/status/1236641467394936834', u'display_url': u'twitter.com/i/web/status/1\u2026'}]}	0	
105480	1236641969562161153	2020-03-08 13:16:35	RT @kenningtonsays: Will the Coronavirus be the end of the left's OPEN BORDERS theory? I think it's pretty telling how NOW they're ready to…	JKR	New Jersey, USA	False	{u'user_mentions': [{u'id': 948688862, u'indices': [3, 18], u'id_str': u'948688862', u'screen_name': u'kenningtonsays', u'name': u'Haley Kennington'}], u'symbols': [], u'hashtags': [], u'urls': []}	1	
105503	1236642104786464777	2020-03-08 13:17:08	"The U.S. Isn’t Ready for What’s About to Happen, writes @juliettekayyem for @TheAtlantic: ""Even with a robust government response to the novel coronavirus, many people will be in peril. And the United States is anything but prepared."" https://t.co/DPSceUrKpk"	Marcela E. García	Boston, MA	True	{u'user_mentions': [{u'id': 21461359, u'indices': [56, 71], u'id_str': u'21461359', u'screen_name': u'juliettekayyem', u'name': u'Juliette Kayyem'}, {u'id': 35773039, u'indices': [76, 88], u'id_str': u'35773039', u'screen_name': u'TheAtlantic', u'name': u'The Atlantic'}], u'symbols': [], u'hashtags': [], u'urls': [{u'url': u'https://t.co/69nZFu4UpW', u'indices': [117, 140], u'expanded_url': u'https://twitter.com/i/web/status/1236642104786464777', u'display_url': u'twitter.com/i/web/status/1\u2026'}]}	0	
105550	1236642504285577217	2020-03-08 13:18:43	RT @electroboyusa: What is this absolute @GOP propaganda about @realDonaldTrump and #CoronavirusOutbreak?  Elect @Carolyn4GA7 for Congress…	Nancy Wallace	GA District 7	False	{u'user_mentions': [{u'id': 366498596, u'indices': [3, 17], u'id_str': u'366498596', u'screen_name': u'electroboyusa', u'name': u'Andy Behrman'}, {u'id': 11134252, u'indices': [41, 45], u'id_str': u'11134252', u'screen_name': u'GOP', u'name': u'GOP'}, {u'id': 25073877, u'indices': [63, 79], u'id_str': u'25073877', u'screen_name': u'realDonaldTrump', u'name': u'Donald J. Trump'}, {u'id': 881222783170228224, u'indices': [113, 125], u'id_str': u'881222783170228224', u'screen_name': u'Carolyn4GA7', u'name': u'Carolyn Bourdeaux'}], u'symbols': [], u'hashtags': [{u'indices': [84, 104], u'text': u'CoronavirusOutbreak'}], u'urls': []}	1	As Americans work to combat the #coronavirus, @realDonaldTrump is leading on the world stage in preparation and response. I appreciate the president coming to Georgia today to visit the @CDCgov to ensure we are as prepared as possible for the weeks ahead. https://t.co/arB69x2C9T
105555	1236642572816220160	2020-03-08 13:18:59	RT @WLRjack: NBA: prepare to play games with no fans due to coronavirus   WNBA: https://t.co/H8FXnfIld7	Dahveed	Broward,FL	False	{u'user_mentions': [{u'id': 1205456180610514944, u'indices': [3, 11], u'id_str': u'1205456180610514944', u'screen_name': u'WLRjack', u'name': u'\U0001d4bf\U0001d4b6\U0001d4b8\U0001d4c0\U0001f4ab'}], u'symbols': [], u'hashtags': [], u'urls': [], u'media': [{u'additional_media_info': {u'monetizable': False}, u'source_user_id': 1205456180610514944, u'source_status_id_str': u'1236387626606899201', u'expanded_url': u'https://twitter.com/WLRjack/status/1236387626606899201/video/1', u'display_url': u'pic.twitter.com/H8FXnfIld7', u'url': u'https://t.co/H8FXnfIld7', u'media_url_https': u'https://pbs.twimg.com/ext_tw_video_thumb/1236387614854467584/pu/img/MULA-zUl5Q8mADsG.jpg', u'source_user_id_str': u'1205456180610514944', u'source_status_id': 1236387626606899201, u'id_str': u'1236387614854467584', u'sizes': {u'large': {u'h': 360, u'resize': u'fit', u'w': 640}, u'small': {u'h': 360, u'resize': u'fit', u'w': 640}, u'medium': {u'h': 360, u'resize': u'fit', u'w': 640}, u'thumb': {u'h': 150, u'resize': u'crop', u'w': 150}}, u'indices': [80, 103], u'type': u'photo', u'id': 1236387614854467584, u'media_url': u'http://pbs.twimg.com/ext_tw_video_thumb/1236387614854467584/pu/img/MULA-zUl5Q8mADsG.jpg'}]}	1	
106208	1236646910028627968	2020-03-08 13:36:13	"RT @TheAtlantic: Keep calm and prepare for the coronavirus, @juliettekayyem has urged. ""Advice like mine is meant to be empowering, but now…"	Dorin Popa	Munich	True	{u'user_mentions': [{u'id': 35773039, u'indices': [3, 15], u'id_str': u'35773039', u'screen_name': u'TheAtlantic', u'name': u'The Atlantic'}, {u'id': 21461359, u'indices': [60, 75], u'id_str': u'21461359', u'screen_name': u'juliettekayyem', u'name': u'Juliette Kayyem'}], u'symbols': [], u'hashtags': [], u'urls': []}	1	
106209	1236646910217187330	2020-03-08 13:36:13	RT @ChrisMurphyCT: A damming account of how a rudderless White House compromised our safety. If you read this, prepare to be furious. https…	Joe Guer	None	False	{u'user_mentions': [{u'id': 150078976, u'indices': [3, 17], u'id_str': u'150078976', u'screen_name': u'ChrisMurphyCT', u'name': u'Chris Murphy'}], u'symbols': [], u'hashtags': [], u'urls': []}	1	
